Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
p,P1,Ethernet1,100.64.48.0/31,p,P2,Ethernet1,100.64.48.1/31
p,P1,Ethernet2,100.64.48.2/31,pe,PE-1A,Ethernet2,100.64.48.3/31
p,P1,Ethernet3,100.64.48.4/31,p,P3,Ethernet3,100.64.48.5/31
p,P1,Ethernet4,100.64.48.16/31,rr,RR,Ethernet4,100.64.48.17/31
p,P2,Ethernet2,100.64.48.7/31,pe,PE-1B,Ethernet2,100.64.48.6/31
p,P2,Ethernet3,100.64.48.8/31,p,P4,Ethernet3,100.64.48.9/31
p,P3,Ethernet1,100.64.48.10/31,p,P4,Ethernet1,100.64.48.11/31
p,P3,Ethernet2,100.64.48.12/31,pe,PE-2A,Ethernet2,100.64.48.13/31
p,P3,Ethernet5,100.64.48.18/31,rr,RR,Ethernet5,100.64.48.19/31
p,P4,Ethernet2,100.64.48.14/31,pe,PE-2B,Ethernet2,100.64.48.15/31
