Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
p,P1,Ethernet1,p,P2,Ethernet1
p,P1,Ethernet2,pe,PE-1A,Ethernet2
p,P1,Ethernet3,p,P3,Ethernet3
p,P1,Ethernet4,rr,RR,Ethernet4
p,P2,Ethernet1,p,P1,Ethernet1
p,P2,Ethernet2,pe,PE-1B,Ethernet2
p,P2,Ethernet3,p,P4,Ethernet3
p,P3,Ethernet1,p,P4,Ethernet1
p,P3,Ethernet2,pe,PE-2A,Ethernet2
p,P3,Ethernet3,p,P1,Ethernet3
p,P3,Ethernet5,rr,RR,Ethernet5
p,P4,Ethernet1,p,P3,Ethernet1
p,P4,Ethernet2,pe,PE-2B,Ethernet2
p,P4,Ethernet3,p,P2,Ethernet3
pe,PE-1A,Ethernet2,p,P1,Ethernet2
pe,PE-1B,Ethernet2,p,P2,Ethernet2
pe,PE-2A,Ethernet2,p,P3,Ethernet2
pe,PE-2B,Ethernet2,p,P4,Ethernet2
rr,RR,Ethernet4,p,P1,Ethernet4
rr,RR,Ethernet5,p,P3,Ethernet5
