test_id,node,test_category,test_description,test,result,failure_reason
1,P1,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
2,P2,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
3,P3,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
4,P4,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
5,PE-1A,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
6,PE-1B,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
7,PE-2A,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
8,PE-2B,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
9,RR,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
10,P1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_P2_Ethernet1,PASS,
11,P1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_PE-1A_Ethernet2,PASS,
12,P1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_P3_Ethernet3,PASS,
13,P1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_RR_Ethernet4,PASS,
14,P2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_P1_Ethernet1,PASS,
15,P2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_PE-1B_Ethernet2,PASS,
16,P2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_P4_Ethernet3,PASS,
17,P3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_P4_Ethernet1,PASS,
18,P3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_PE-2A_Ethernet2,PASS,
19,P3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_P1_Ethernet3,PASS,
20,P3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_RR_Ethernet5,PASS,
21,P4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_P3_Ethernet1,PASS,
